material_class,option_id,sigma_a_MPa,N,H_cleave,S_no_attempt,cleavage_attempt_asymptotic_classification,intrinsic_log_hazard_floor_per_cycle,endpoint_semantics
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000,0.051523913898147686,0.9497809367260361,no_endurance,-247.5587209602039,cleavage_attempt
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700,100000000,3.692124914851011e-05,0.9999630794324325,no_endurance,-109.0226531676691,cleavage_attempt
weak-T,v913_paper_weakT01_0129902_persistent_sites,350,100000000,0.00023463196310551638,0.9997653955608208,no_endurance,-138.16654058791096,cleavage_attempt
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400,100000000,0.06248605838109062,0.9394261598436927,no_endurance,-191.90447864793788,cleavage_attempt
