material_class,option_id,sigma_a_MPa,N,phase_index,phase,Xi,proposed_length_m,maximum_released_energy_J_per_m,resistance_J_per_m2,admitted_length_m,reason,mesh_resolved
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,0.1,2.2973400956248734e-06,0.09503204216038762,3.4001490098103573,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,0.3,2.2973400956248734e-06,0.09503204216038762,3.4001490098103573,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,0.49,2.2973400956248734e-06,0.09503204216038762,3.4001490098103573,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,0.5,2.2973400956248734e-06,0.09503204216038762,3.4001490098103573,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,0.6,2.7568081147498482e-06,0.099783644268407,3.4001490098103573,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,0.8,3.6757441529997978e-06,0.09503204216038762,3.4001490098103573,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,1.0,4.594680191249747e-06,0.09503204216038762,3.4001490098103573,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,1.25,5.743350239062183e-06,0.0890925395253634,3.4001490098103573,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,1.5,6.89202028687462e-06,0.07127403162029072,3.4001490098103573,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,2.0,9.189360382499494e-06,0.09503204216038762,3.4001490098103573,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,2.5,1.1486700478124366e-05,0.09726632072734631,3.4001490098103573,1.1486700478124366e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,3.0,1.378404057374924e-05,0.09726632072734631,3.4001490098103573,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,3.5,1.6081380669374112e-05,0.09726632072734631,3.4001490098103573,1.6081380669374112e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,3.99,1.833277396308649e-05,0.09726632072734631,3.4001490098103573,1.833277396308649e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,4.0,1.8378720764998988e-05,0.09726632072734631,3.4001490098103573,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,0,0.0,8.0,1.8378720764998988e-05,0.09726632072734631,3.4001490098103573,1.8378720764998988e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,0.1,2.2973400956248734e-06,0.09337116718647764,3.4565194522332288,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,0.3,2.2973400956248734e-06,0.09337116718647764,3.4565194522332288,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,0.49,2.2973400956248734e-06,0.09337116718647764,3.4565194522332288,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,0.5,2.2973400956248734e-06,0.09337116718647764,3.4565194522332288,2.2973400956248734e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,0.6,2.7568081147498482e-06,0.09803972554580152,3.4565194522332288,2.7568081147498482e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,0.8,3.6757441529997978e-06,0.09337116718647764,3.4565194522332288,3.6757441529997973e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,1.0,4.594680191249747e-06,0.09337116718647764,3.4565194522332288,4.594680191249747e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,1.25,5.743350239062183e-06,0.08753546923732279,3.4565194522332288,5.743350239062183e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,1.5,6.89202028687462e-06,0.07002837538985823,3.4565194522332288,6.89202028687462e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,2.0,9.189360382499494e-06,0.09337116718647764,3.4565194522332288,9.189360382499494e-06,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,2.5,1.1486700478124366e-05,0.09558014711770113,3.4565194522332288,1.1486700478124366e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,3.0,1.378404057374924e-05,0.09558014711770113,3.4565194522332288,1.378404057374924e-05,stochastic_proposal_reached,True
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000.0,1,0.03125,3.5,1.6081380669374112e-05,0.09558014711770113,3.4565194522332288,1.6081380669374112e-05,stochastic_proposal_reached,True
