material_class,option_id,sigma_a_MPa,N,H_cleave,log_h_cleave_per_cycle,S_no_attempt,DeltaH_per_decade,h_ratio_per_decade,p_eff,empirical_attempt_tail_evidence,cleavage_attempt_asymptotic_classification,intrinsic_log_hazard_floor_per_cycle,floor_or_cap_diagnostic
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000,0.0412950275443976,-17.96352458131622,0.959545995684806,0.033226266997512556,0.21397016163753038,0.6696467852474225,pre_crossover_divergent_looking,no_endurance,-247.5587209602039,strict_positive_zero_drive_renewal_floor
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,10000000,0.0515233773133477,-28.400924319388196,0.9497814463641868,0.010228349768950096,2.9315336815927413e-05,4.532905111663104,empirically_integrable,no_endurance,-247.5587209602039,strict_positive_zero_drive_renewal_floor
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000,0.051523913898147686,-59.51772350257627,0.9497809367260361,5.36584799988582e-07,3.0629917019703404e-14,13.513854179750192,empirically_integrable,no_endurance,-247.5587209602039,strict_positive_zero_drive_renewal_floor
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400,100000000,0.06248605838109062,,0.9394261598436927,,,,ambiguous,no_endurance,-191.90447864793788,strict_positive_zero_drive_renewal_floor
weak-T,v913_paper_weakT01_0129902_persistent_sites,350,1000000,8.686778260735889e-06,-25.488209447108552,0.9999913132594692,8.686778260735889e-06,,,insufficient_dynamic_range,no_endurance,-138.16654058791096,strict_positive_zero_drive_renewal_floor
weak-T,v913_paper_weakT01_0129902_persistent_sites,350,10000000,7.307968087942512e-05,-25.833262025421924,0.9999269229893754,6.439290261868923e-05,0.7081831174150324,0.14985443072798682,empirically_divergent,no_endurance,-138.16654058791096,strict_positive_zero_drive_renewal_floor
weak-T,v913_paper_weakT01_0129902_persistent_sites,350,100000000,0.00023463196310551638,-28.856132173322166,0.9997653955608208,0.00016155228222609127,0.04866135246152725,1.3128158247431418,ambiguous_late_crossover,no_endurance,-138.16654058791096,strict_positive_zero_drive_renewal_floor
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700,1000000,2.888967480928083e-05,-25.156951980427973,0.9999711107424933,2.3451046413693984e-05,0.23702702804732775,0.6252021288315011,pre_crossover_divergent_looking,no_endurance,-109.0226531676691,strict_positive_zero_drive_renewal_floor
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700,10000000,3.6920690923209635e-05,-35.2757190952618,0.9999630799906372,8.031016113928807e-06,4.0315799655692e-05,4.394524721636419,empirically_integrable,no_endurance,-109.0226531676691,strict_positive_zero_drive_renewal_floor
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700,100000000,3.692124914851011e-05,-63.03284605805851,0.9999630794324325,5.582253004773343e-10,8.81521535551396e-13,12.054767073430579,empirically_integrable,no_endurance,-109.0226531676691,strict_positive_zero_drive_renewal_floor
