condition_id,N,H_cleave,S_stable,survival_semantics
Peak_300K_735p921495,100000000,0.05152397046800673,0.949780882997064,exp_minus_canonical_cleavage_hazard
Peak_300K_770,206847,2.3225858356478564,0.09801979453587456,exp_minus_canonical_cleavage_hazard
Peak_300K_804p139,2047,3.0032883219513375,0.049623621338564516,exp_minus_canonical_cleavage_hazard
DBTT_300K_770,40959,2.379228389991975,0.09262201802076062,exp_minus_canonical_cleavage_hazard
weakT_300K_250,255,3.1451730417356414,0.043045137372323,exp_minus_canonical_cleavage_hazard
ceramic_300K_zero,1,999.9999999999998,0,invalid_zero_load_result_diagnostic_only
weakT_final_300K_400,15728639,2.3027420277122146,0.09998430775954398,exp_minus_canonical_cleavage_hazard
weakT_final_300K_450,2047,3.0940780118928344,0.04531677473249582,exp_minus_canonical_cleavage_hazard
ceramic_final_300K_400,100000000,0.06248605838109062,0.9394261598436927,exp_minus_canonical_cleavage_hazard
ceramic_final_300K_450,65535,2.331801813968303,0.0971205960955103,exp_minus_canonical_cleavage_hazard
ceramic_final_300K_500,63,4.054207508354696,0.01734922385183076,exp_minus_canonical_cleavage_hazard
weakT_final_900K_400,100000000,0.22852751853164843,0.7957044002864784,exp_minus_canonical_cleavage_hazard
weakT_final_1300K_400,100000000,0.6256853411992653,0.5348947174850919,exp_minus_canonical_cleavage_hazard
Peak_300K_endurance_735p921495,100000000,0.051523913898147686,0.9497809367260361,exp_minus_canonical_cleavage_hazard
DBTT_300K_endurance_700,100000000,3.692124914851011e-05,0.9999630794324325,exp_minus_canonical_cleavage_hazard
weakT_300K_endurance_350,100000000,0.00023463196310551638,0.9997653955608208,exp_minus_canonical_cleavage_hazard
