material_class,target_S_stable_birth_1e14,target_H_stable_birth,estimated_sigma_a_MPa,lower_sigma_a_MPa,lower_H_stable_birth,upper_sigma_a_MPa,upper_H_stable_birth,interpolation,estimate_semantics
DBTT,0.9,0.10536051565782628,648.0801640974237,648.0,0.10357533387488078,660.0,1.337240037989723,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
DBTT,0.5,0.6931471805599453,656.9174151995484,648.0,0.10357533387488078,660.0,1.337240037989723,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
DBTT,0.1,2.3025850929940455,662.5894701977921,660.0,1.337240037989723,700.0,5913.441733070966,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
Peak,0.9,0.10536051565782628,632.7579748835662,631.0,0.07468102607749412,650.0,3.0806321803516563,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
Peak,0.5,0.6931471805599453,642.3806809254133,631.0,0.07468102607749412,650.0,3.0806321803516563,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
Peak,0.1,2.3025850929940455,648.5130524632586,631.0,0.07468102607749412,650.0,3.0806321803516563,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
ceramic,0.9,0.10536051565782628,333.3806818519851,332.0,0.0743951129620863,342.0,0.9250680904348206,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
ceramic,0.5,0.6931471805599453,340.8548795442164,332.0,0.0743951129620863,342.0,0.9250680904348206,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
ceramic,0.1,2.3025850929940455,346.0883521989583,342.0,0.9250680904348206,400.0,384309.09945106093,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
weak-T,0.9,0.10536051565782628,310.9123119381861,310.0,0.08488388614248608,329.0,7.645746665230013,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
weak-T,0.5,0.6931471805599453,318.86526724734256,310.0,0.08488388614248608,329.0,7.645746665230013,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
weak-T,0.1,2.3025850929940455,323.9335377075991,310.0,0.08488388614248608,329.0,7.645746665230013,secant_linear_sigma_vs_log_stable_birth_action,practical_1e14_survival_stress_not_infinite_endurance
