material_class,option_id,sigma_a_MPa,N,H_cleave,S_no_attempt,S_stable_birth,conditional_attempt_admission_probability,rejected_phase_xi_fraction,minimum_admitted_length_m,maximum_admitted_length_m,minimum_energy_gate_margin_J_per_m
Peak,v913_paper_peak01_0242980_persistent_sites,650.0,100000000.0,3.080632574736409e-06,0.9999969193721704,0.9999969193721704,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606116028e-05
Peak,v913_paper_peak01_0242980_persistent_sites,650.0,10000000000.0,0.00030806325746972997,0.9996919841891433,0.9996919841891433,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606116021e-05
Peak,v913_paper_peak01_0242980_persistent_sites,650.0,1000000000000.0,0.030806325707904886,0.969663353754903,0.969663353754903,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606115335e-05
Peak,v913_paper_peak01_0242980_persistent_sites,650.0,100000000000000.0,3.0806321803516563,0.04593021129193332,0.04593021129193332,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606046895e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,660.0,100000000.0,1.3372400380205383e-06,0.9999986627608561,0.9999986627608561,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.647926733407538e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,660.0,10000000000.0,0.0001337240038020539,0.999866284936854,0.999866284936854,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.647926733407538e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,660.0,1000000000000.0,0.013372400380202378,0.986716612950041,0.986716612950041,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.647926733407538e-05
DBTT,v913_paper_dbtt01_0202500_persistent_sites,660.0,100000000000000.0,1.337240037989723,0.2625693508866189,0.2625693508866189,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.647926733407538e-05
weak-T,v913_paper_weakT01_0129902_persistent_sites,329.0,100000000.0,7.845568090813644e-06,0.9999921544626855,0.9999921544626855,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-5.244960783881605e-06
weak-T,v913_paper_weakT01_0129902_persistent_sites,329.0,10000000000.0,0.000774456485524064,0.9992258433284973,0.9992258433284973,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-5.246140062895984e-06
weak-T,v913_paper_weakT01_0129902_persistent_sites,329.0,1000000000000.0,0.07660309387636118,0.9262574178986407,0.9262574178986407,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-5.247087801350431e-06
weak-T,v913_paper_weakT01_0129902_persistent_sites,329.0,100000000000000.0,7.645746665230013,0.0004780732162028233,0.0004780732162028233,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-5.247087801350431e-06
ceramic,v913_paper_ceramic01_0077080_persistent_sites,342.0,100000000.0,9.250680904348204e-07,0.9999990749323374,0.9999990749323374,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.8270319697512413e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,342.0,10000000000.0,9.250680904348207e-05,0.9999074974695794,0.9999074974695794,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.8270319697512413e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,342.0,1000000000000.0,0.009250680904348203,0.9907919750108279,0.9907919750108279,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.8270319697512413e-05
ceramic,v913_paper_ceramic01_0077080_persistent_sites,342.0,100000000000000.0,0.9250680904348206,0.3965044199974479,0.3965044199974479,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,-1.8270319697512413e-05
Peak,v913_paper_peak01_0242980_persistent_sites,631.0,100000000.0,7.46810352744461e-08,0.9999999253189675,0.9999999253189675,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,8.652723072340401e-05
