material_class,option_id,sigma_a_MPa,N,H_cleave,S_no_attempt,P_at_least_one_attempt,S_stable_birth,P_stable_birth,expected_nonpropagating_attempt_count,conditional_attempt_admission_probability,estimator
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000.0,8.829782039936095,0.00014631012577370566,0.9998536898742263,0.0001463101257737059,0.9998536898742263,1.7763568394002505e-15,0.9999999999999999,deterministic_piecewise_stationary_marked_renewal_quadrature
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,10000000000.0,882.9782039804766,0.0,1.0,0.0,1.0,1.1368683772161603e-13,0.9999999999999999,deterministic_piecewise_stationary_marked_renewal_quadrature
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,1000000000000.0,88297.82026662635,0.0,1.0,0.0,1.0,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
Peak,v913_paper_peak01_0242980_persistent_sites,735.9214951373579,100000000000000.0,8829780.713400843,0.0,1.0,0.0,1.0,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,100000000.0,0.005913441733257106,0.9941040082498795,0.005895991750120417,0.9941040082498795,0.005895991750120417,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,10000000000.0,0.5913441733257107,0.5535826733401542,0.4464173266598458,0.5535826733401542,0.4464173266598458,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,1000000000000.0,59.13441733255116,2.0808887483074498e-26,1.0,2.0808887483074794e-26,1.0,1.4210854715202004e-14,0.9999999999999998,deterministic_piecewise_stationary_marked_renewal_quadrature
DBTT,v913_paper_dbtt01_0202500_persistent_sites,700.0,100000000000000.0,5913.441733070966,0.0,1.0,0.0,1.0,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,100000000.0,0.0008723891221042562,0.9991279912986529,0.0008720087013470919,0.9991279912986529,0.0008720087013470919,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,10000000000.0,0.08601797107692588,0.917577741211807,0.08242225878819297,0.917577741211807,0.08242225878819297,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,1000000000000.0,8.500396125468388,0.00020338778596921893,0.9997966122140308,0.00020338778596921893,0.9997966122140308,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
weak-T,v913_paper_weakT01_0129902_persistent_sites,350.0,100000000000000.0,848.0888483407676,0.0,1.0,0.0,1.0,0.0,1.0,deterministic_piecewise_stationary_marked_renewal_quadrature
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,100000000.0,0.3843090994510605,0.6809209223644432,0.3190790776355567,0.6809209223644433,0.3190790776355567,5.551115123125783e-17,0.9999999999999999,deterministic_piecewise_stationary_marked_renewal_quadrature
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,10000000000.0,38.43090994510604,2.0401771366807874e-17,1.0,2.040177136680802e-17,1.0,7.105427357601002e-15,0.9999999999999999,deterministic_piecewise_stationary_marked_renewal_quadrature
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,1000000000000.0,3843.0909945106005,0.0,1.0,0.0,1.0,4.547473508864641e-13,0.9999999999999999,deterministic_piecewise_stationary_marked_renewal_quadrature
ceramic,v913_paper_ceramic01_0077080_persistent_sites,400.0,100000000000000.0,384309.09945106093,0.0,1.0,0.0,1.0,5.820766091346741e-11,0.9999999999999999,deterministic_piecewise_stationary_marked_renewal_quadrature
