condition,sigma_a_MPa,cycles_total,N_attempt,N_stable_seed,N_first_softening,N_root_connection,N_front_capture,physical_handoff,H_attempt,S_no_attempt,attempt_count,selected_site_id,emitted_line_content,accumulated_slip_positive,accumulated_slip_negative,equivalent_root_plastic_strain_upper_bound,relaxation_upper_bound_Pa_at_E410GPa,max_MPZ_backstress_Pa,signed_shielding_Pa_sqrt_m,continuum_epsp_max,status
m1_2000_seed42,2000.0,566712.8719933422,566.0012938069962,568.777774661639,14083.541417026983,566712.8719933422,566712.8719933422,False,0.037363528078493934,0.9633258756837484,1,801,5.243860540923506e-12,2.6219302704617524e-12,2.621930270461753e-12,7.184088941065202e-16,0.0002945476465836733,97.55321204574852,-1.1618043673673777e-68,1.0331858605335143e-20,stable_spatial_crack_birth
m1_1500_seed42,1500.0,182779272.25890073,182037375.9965509,182037378.77303174,182050893.53667867,182671114.2427437,182779272.25890073,False,0.037363528078493934,0.9633258756837484,1,801,1.1251755296854989e-09,5.625877648427494e-10,5.625877648427494e-10,1.5414904756691334e-13,0.06320110950243447,1428.9799861910076,-1.253742077355691e-75,4.555089840349336e-19,stable_spatial_crack_birth
m1_1500_seed43,1500.0,300000000.0,182037375.9965509,182037377.44777185,182053768.93799773,184278241.8571887,,False,0.037363528078493934,0.9633258756837484,1,2673,1.8467773067753844e-09,9.233886533876922e-10,9.233886533876922e-10,2.5300849102822766e-13,0.10373348132157334,1830.72567195823,-2.0577966334346943e-75,7.476378120890521e-19,right_censored
m1_1500_seed44,1500.0,182795652.0107227,182037375.9965509,182037376.2283933,182052541.73259926,182684204.82550183,182795652.0107227,False,0.037363528078493934,0.9633258756837484,1,802,1.125276362195821e-09,5.626381810979105e-10,5.626381810979105e-10,1.5416286162082748e-13,0.06320677326453927,1429.0440137171358,-1.253854431346354e-75,4.555498044409811e-19,stable_spatial_crack_birth
m1_1500_seed45,1500.0,182731476.46329162,182037375.9965509,182037379.11639875,182058104.28422722,182633234.14152896,182731476.46329162,False,0.037363528078493934,0.9633258756837484,1,782,1.1248813023915228e-09,5.624406511957614e-10,5.624406511957614e-10,1.5410873842763864e-13,0.06318458275533184,1428.7931387201022,-1.2534142306073108e-75,4.553898708880842e-19,stable_spatial_crack_birth
m1_1500_seed46_rate_separated,1500.0,183037380.03568697,182037376.0018305,182037380.03568697,182048003.81498384,,,False,0.037363528078493934,0.9633258756837484,1,2699,1.1267645752419993e-09,5.633822876209996e-10,5.633822876209996e-10,1.5436674680815391e-13,0.06329036619134311,1429.9886790974763,-1.2555068487036774e-75,4.561522211270412e-19,right_censored
