site_id,node_id,x_m,y_m,site_threshold,node_cumulative_action,remaining_threshold_action,site_status
683,293,0.0005313750000000005,-7.500000000000006e-06,9.649186180543273e-06,3.3215141062271063e-09,9.645864666437046e-06,0
2067,661,0.0004269006467537924,0.00012341315379275108,4.9016269795860904e-05,4.463506753824434e-08,4.897163472832266e-05,0
1189,494,0.00036262500000000005,4.499999999999999e-05,0.00028899896085808846,0.00021158352455000589,7.741543630808258e-05,0
767,325,0.0005351250000000004,-6.776263578034403e-21,0.0003650804050642932,3.0456433523185158e-09,0.0003650773594209409,0
974,409,0.00044887500000000027,2.249999999999999e-05,0.0008979838930887144,8.221440972910591e-08,0.0008979016786789853,0
3699,1362,0.00045742028878796543,-0.001747449068702735,0.0009540169611949147,8.64009075800238e-07,0.0009531529521191144,0
2522,723,0.0005498054557068993,7.3531025277579e-05,0.001219775739052468,2.8212094008646687e-09,0.0012197729178430672,0
3018,831,0.0005052559082019141,-0.00014259608629591756,0.0016323856128894938,1.2259935852966035e-08,0.0016323733529536408,0
328,148,0.00040387500000000015,-3.7500000000000003e-05,0.0016429295874735034,3.3543641606798774e-06,0.0016395752233128236,0
3726,1363,0.0004980498508590125,-0.0017495891039972066,0.0024204106903169664,1.303138308747088e-07,0.0024202803764860918,0
919,387,0.0005201250000000004,1.4999999999999992e-05,0.002704604805398529,4.3955306162339185e-09,0.0027046004098679128,0
1514,600,0.0003430263342084167,6.457452227107159e-05,0.0028868403969606405,1.601313965866978e-06,0.0028852390829947733,0
255,116,0.00040012500000000014,-4.5e-05,0.0032765815127525255,3.592006066770434e-06,0.003272989506685755,0
1518,600,0.0003430263342084167,6.457452227107159e-05,0.0033442157046167345,1.601313965866978e-06,0.0033426143906508674,0
889,376,0.00043762500000000024,1.4999999999999992e-05,0.00396060987821282,1.771047718144346e-07,0.0039604327734410055,0
23,28,0.00033537279169846044,4.626701118018792e-05,0.004101772312663133,4.813700262333484e-06,0.0040969586124008,0
2455,714,0.0004516700070720543,-0.00010631609882119671,0.004379527413883116,8.836640397662698e-08,0.00437943904747914,0
3439,1300,0.0019586220894085822,-0.0018338156596585703,0.0046671869785907556,7.285132515831509e-08,0.004667114127265597,0
1405,573,0.00047512500000000034,5.999999999999999e-05,0.004801195023080072,2.9704763685970672e-08,0.004801165318316386,0
309,143,0.00036637500000000006,-3.7500000000000003e-05,0.005541777312151968,0.0006643243141099803,0.004877452998041988,0
1050,440,0.00043762500000000024,2.999999999999999e-05,0.004925111428019729,1.9110593067260764e-07,0.004924920322089057,0
3673,1318,0.0006654805645827595,-0.0017913884242686483,0.005371885664629758,1.3505968375492156e-08,0.005371872158661382,0
3114,842,0.0005498054557068993,-7.353102527757903e-05,0.005430086115425757,2.8923715216076588e-09,0.005430083223054235,0
3996,1387,0.0015029018387132948,-0.0017473203703996317,0.005476539150724948,2.180477085144828e-08,0.005476517345954096,0
4029,1388,0.0015430996086898707,-0.0017488292043807475,0.00588151184239933,3.510913238384681e-09,0.005881508331486092,0
2128,667,0.00038437670561554204,0.0001382471673795964,0.006019520672730152,2.6037155044868073e-08,0.0060194946355751075,0
794,339,0.00040387500000000015,7.4999999999999926e-06,0.006044489275417031,9.099974363044701e-06,0.006035389301053987,0
2954,823,0.00045740140625132584,-0.0001787341286792756,0.006110437548920953,1.3182417654261962e-08,0.006110424366503299,0
77,53,0.00040762500000000016,-6e-05,0.006183640301955103,8.045962220568645e-07,0.006182835705733046,0
2714,751,0.00039369862170935083,0.00020074193779418822,0.006649386617543562,8.718542757268554e-09,0.006649377899000804,0
141,68,0.0005201250000000004,-6e-05,0.006741537288849567,7.193027720452753e-09,0.006741530095821847,0
1283,534,0.0004263750000000002,5.249999999999999e-05,0.006769051042321237,4.533515729228951e-07,0.006768597690748314,0
329,149,0.0004113750000000002,-3.7500000000000003e-05,0.00686272451348555,1.6049215619148837e-06,0.006861119591923635,0
1760,632,0.0003115931542154948,-8.38431163329143e-05,0.007054267518940603,1.1820845718733618e-09,0.007054266336856031,0
354,158,0.00047887500000000035,-3.7500000000000003e-05,0.0072151287266376506,2.053186253119957e-08,0.007215108194775119,0
1932,648,0.00042365707097667893,-7.294291048408706e-05,0.007679208336818433,1.44746253469961e-07,0.007679063590564963,0
2697,750,0.00040109332316923805,0.00019935962852439364,0.00823185695177514,1.943750454569452e-08,0.008231837514270595,0
933,391,0.0005501250000000005,1.4999999999999992e-05,0.008577236440392133,2.2809539603251084e-09,0.008577234159438172,0
3631,1318,0.0006654805645827595,-0.0017913884242686483,0.008624502996434694,1.3505968375492156e-08,0.00862448949046632,0
2777,758,0.00034121870285998014,0.0002026824747535266,0.009050851172304968,1.3750670286002188e-09,0.009050849797237939,0
1894,644,0.00039834594430604073,-8.889589096520435e-05,0.009284129781909031,3.44733742335527e-07,0.009283785048166696,0
2699,751,0.00039369862170935083,0.00020074193779418822,0.00964477180860725,8.718542757268554e-09,0.009644763090064493,0
4272,1409,0.0003752823907658263,-0.0017092114270423236,0.010190508836507847,3.208013893465805e-08,0.010190476756368912,0
2024,659,0.0004397448455128243,0.00011553035393040538,0.010334480514459302,9.115557166615707e-08,0.010334389358887636,0
185,82,0.0003888750000000001,-5.25e-05,0.01035577842628525,6.703792878923332e-06,0.010349074633406327,0
1928,648,0.00042365707097667893,-7.294291048408706e-05,0.010446628876541509,1.44746253469961e-07,0.01044648413028804,0
3878,1384,0.0013738430140100327,-0.001747035302962676,0.010960136750344787,7.187926468036283e-08,0.010960064871080106,0
465,210,0.0003888750000000001,-2.2500000000000005e-05,0.011623809531623315,6.82020560368161e-05,0.0115556074755865,0
1658,619,0.00036937261777678494,9.63589378896933e-05,0.011623234184361335,2.9069613913589394e-07,0.011622943488222199,0
1678,621,0.00035437078446752833,9.664989812570138e-05,0.011911917259900082,1.2562936241729608e-07,0.011911791630537665,0
1943,649,0.0004291181731234339,-6.779062633800117e-05,0.01206157746666062,1.9769346161496606e-07,0.012061379773199005,0
2468,716,0.0004625386972560682,-9.587658019650753e-05,0.012273848878802939,4.4855855708196496e-08,0.01227380402294723,0
1477,595,0.00035619747382519424,-4.588966645821942e-05,0.012408743471560917,1.0774866923788777e-05,0.012397968604637127,0
2901,814,0.0003936986217093507,-0.00020074193779418825,0.012453580314681096,4.798547018335494e-09,0.012453575516134078,0
3034,835,0.0005246760455161772,-0.00011964415041124925,0.012532273930877184,1.1870192673199509e-08,0.012532262060684512,0
1465,594,0.0003486961444771855,-4.4637915982671575e-05,0.012904405416963291,5.494759238390881e-06,0.0128989106577249,0
2220,693,0.00030324692444946453,-0.0001283962284520233,0.013263309539106113,1.895665708906316e-09,0.013263307643440404,0
4085,1406,0.0002528682826605001,-0.0017101146573470373,0.013418631275066066,2.8236642550380505e-09,0.01341862845140181,0
845,356,0.0005313750000000005,7.4999999999999926e-06,0.013442044836146388,3.3174307055008268e-09,0.013442041518715683,0
1138,474,0.0004563750000000003,3.749999999999999e-05,0.014497848051102971,5.839605355892661e-08,0.014497789655049413,0
4115,1407,0.0002931700512453749,-0.0017084410577699741,0.0147212438279744,1.2275674944536702e-08,0.014721231552299454,0
447,199,0.0005426250000000006,-3.0000000000000004e-05,0.015043949460013927,3.040363256462645e-09,0.01504394641965067,0
2806,802,0.0003042956831283605,-0.00019578036616662979,0.015196994894920225,5.142559973308471e-10,0.015196994380664228,0
844,356,0.0005313750000000005,7.4999999999999926e-06,0.016078741959674483,3.3174307055008268e-09,0.016078738642243778,0
1332,560,0.0003776250000000001,5.999999999999999e-05,0.016330178862720295,1.0982779020837966e-05,0.016319196083699458,0
4061,1406,0.0002528682826605001,-0.0017101146573470373,0.016422254064005434,2.8236642550380505e-09,0.01642225124034118,0
2064,661,0.0004269006467537924,0.00012341315379275108,0.01683995286445724,4.463506753824434e-08,0.016839908229389702,0
497,222,0.00047887500000000035,-2.2500000000000005e-05,0.016882278919357663,1.7352332973012653e-08,0.01688226156702469,0
1036,435,0.00040012500000000014,2.999999999999999e-05,0.017001180866467656,7.176817873466283e-06,0.016994004048594188,0
808,343,0.00043387500000000023,7.4999999999999926e-06,0.017808527559644165,2.3782304958333776e-07,0.017808289736594582,0
362,162,0.0005088750000000003,-3.7500000000000003e-05,0.018385970136321584,7.164466666471789e-09,0.018385962971854918,0
3028,833,0.0005153903208829037,-0.00013147916515700845,0.018423574533048083,6.815438516297206e-09,0.018423567717609567,0
2162,673,0.0003393437404681261,0.00013885179871827666,0.018587163717863453,6.146791561234625e-09,0.01858715757107189,0
2730,753,0.00037878129714001996,0.00020268247475352657,0.01944146960390564,6.678631917872048e-09,0.019441462925273722,0
1263,529,0.0003888750000000001,5.249999999999999e-05,0.01970712195093837,6.6048528605076164e-06,0.019700517098077863,0
1607,615,0.00039834594430604073,8.889589096520433e-05,0.020164449095388493,5.404606383178633e-07,0.020163908634750174,0
1504,599,0.00035049791389083905,6.608846053976123e-05,0.02021850908281547,9.765684729121883e-07,0.020217532514342558,0
638,280,0.00043387500000000023,-7.500000000000006e-06,0.02023343487116159,2.3768783364395315e-07,0.020233197183327944,0
2152,671,0.0003543474732555907,0.00014026600445778972,0.020833785664534258,1.538209714277646e-08,0.020833770282437117,0
1441,585,0.0005651250000000005,5.999999999999999e-05,0.020887338286962313,1.814953194701976e-09,0.02088733647200912,0
475,214,0.0004188750000000002,-2.2500000000000005e-05,0.02143237495490655,9.854296047558822e-07,0.021431389525301794,0
3204,1279,0.0010853696574508723,-0.0018348853894366581,0.021656853538409775,2.731603399001012e-09,0.021656850806806377,0
243,105,0.0005613750000000006,-5.25e-05,0.021697687877344655,1.9893405479517803e-09,0.02169768588800411,0
1484,597,0.0003657136775702661,6.652313992562682e-05,0.021818397008351646,4.479246900015937e-06,0.02181391776145163,0
3808,1365,0.0005858232018222758,-0.001752429859975062,0.021924421624158575,1.2900585714593919e-08,0.02192440872357286,0
2746,756,0.00035623860436146976,0.0002035160303202824,0.02200925349284337,2.5392780058497007e-09,0.022009250953565363,0
3087,839,0.0005405034812376771,-9.408196402900622e-05,0.022130330682017536,3.984490126884458e-09,0.02213032669752741,0
3050,837,0.0005330623666938131,-0.0001071556808051344,0.02213163881116138,6.988737771910894e-09,0.022131631822423607,0
550,249,0.00043762500000000024,-1.5000000000000005e-05,0.022296278001909035,1.7706581462694445e-07,0.022296100936094406,0
3002,828,0.0004885852721786183,-0.00015779337905383195,0.02256641615574986,1.676550523652948e-08,0.022566399390244622,0
625,277,0.0004113750000000002,-7.500000000000006e-06,0.02276579190151489,2.912082372846733e-06,0.022762879819142046,0
1009,423,0.0005538750000000004,2.249999999999999e-05,0.022811819093441238,2.128813182741316e-09,0.022811816964628057,0
397,181,0.00040762500000000016,-3.0000000000000004e-05,0.02285269558881357,2.908092661345162e-06,0.022849787496152223,0
3496,1301,0.002,-0.0018333333333333333,0.02296496010141767,3.6044118441876554e-08,0.022964924057299226,0
880,372,0.00040762500000000016,1.4999999999999992e-05,0.02307394829214187,4.467154975645392e-06,0.023069481137166226,0
2597,735,0.0004998875679570837,0.00014786612534832972,0.024265199901218747,1.2781985578946093e-08,0.02426518711923317,0
4261,1409,0.0003752823907658263,-0.0017092114270423236,0.02477999968934751,3.208013893465805e-08,0.024779967609208576,0
2245,695,0.0003173378387221443,-0.00013374020734338335,0.025214610805740275,1.210188274086831e-09,0.025214609595552002,0
2015,658,0.000445831163023568,0.00011108336742811969,0.02572088388680124,6.94013994249836e-08,0.025720814485401814,0
1376,567,0.0004301250000000002,5.999999999999999e-05,0.02579109542672479,3.7160972673562206e-07,0.025790723816998054,0
1021,430,0.00036262500000000005,2.999999999999999e-05,0.02749719829760594,0.001541738891892167,0.025955459405713772,0
3512,1302,0.0,-0.0017916666666666667,0.025985152448395665,2.1460700857017973e-08,0.02598513098769481,0
3208,1279,0.0010853696574508723,-0.0018348853894366581,0.025992247513201075,2.731603399001012e-09,0.025992244781597677,0
3333,1281,0.0011683063225345087,-0.001835821235010951,0.02622620491717863,3.04051247806275e-08,0.026226174512053852,0
3367,1282,0.0012103756595647091,-0.0018311249926090982,0.026546746075658975,2.8048161649195223e-08,0.026546718027497324,0
1726,625,0.00032512986484072894,9.031591525967967e-05,0.02689491712732951,6.0560206497547175e-09,0.02689491107130886,0
4166,1407,0.0002931700512453749,-0.0017084410577699741,0.027126943520943254,1.2275674944536702e-08,0.02712693124526831,0
4131,1407,0.0002931700512453749,-0.0017084410577699741,0.028163626818563145,1.2275674944536702e-08,0.0281636145428882,0
2103,666,0.0003917622054501175,0.00013673940679297052,0.02854914330186455,4.235101707239463e-08,0.028549100950847478,0
1432,582,0.0005426250000000006,5.999999999999999e-05,0.02863837612894663,4.084720561261821e-09,0.02863837204422607,0
269,123,0.0004526250000000003,-4.5e-05,0.028715045123181314,7.737986442645582e-08,0.028714967743316888,0
36,30,0.00031661055043433607,6.0578213238823295e-05,0.0291843390310478,1.017085796253868e-08,0.02918432886018984,0
1958,652,0.0004765905330907351,7.818663989945569e-05,0.029278850137355185,4.0916124776755385e-08,0.02927880922123041,0
2591,734,0.0005052559082019142,0.00014259608629591745,0.02943468777213419,1.2071616999828138e-08,0.02943467570051719,0
496,221,0.00047137500000000033,-2.2500000000000005e-05,0.02947950627552478,2.4005963162145616e-08,0.029479482269561617,0
3503,1301,0.002,-0.0018333333333333333,0.029750610714777973,3.6044118441876554e-08,0.02975057467065953,0
4001,1387,0.0015029018387132948,-0.0017473203703996317,0.030365089716407,2.180477085144828e-08,0.03036506791163615,0
3995,1387,0.0015029018387132948,-0.0017473203703996317,0.030509490169848264,2.180477085144828e-08,0.030509468365077414,0
2857,809,0.0003562386043614697,-0.0002035160303202824,0.030601874099991728,2.7376551071689497e-09,0.030601871362336622,0
62,51,0.0003926250000000001,-6e-05,0.03065048236037556,1.2666504830658032e-06,0.030649215709892492,0
4225,1408,0.0003352491194219976,-0.001709268843234495,0.03066255975004642,2.90809048727778e-08,0.030662530669141548,0
3642,1318,0.0006654805645827595,-0.0017913884242686483,0.03091387411584474,1.3505968375492156e-08,0.030913860609876366,0
2673,746,0.00043001107291196184,0.00019113181933992995,0.03137801950608638,1.3298051665468392e-08,0.031378006208034714,0
254,115,0.0003926250000000001,-4.5e-05,0.03163476478454066,7.39222710129204e-06,0.031627372557439366,0
1836,640,0.0003693726177767849,-9.63589378896933e-05,0.03216044337561484,2.899099018836165e-07,0.03216015346571296,0
2048,661,0.0004269006467537924,0.00012341315379275108,0.03261492566033159,4.463506753824434e-08,0.03261488102526405,0
2443,714,0.0004516700070720543,-0.00010631609882119671,0.03268128172968407,8.836640397662698e-08,0.03268119336328009,0
2698,751,0.00039369862170935083,0.00020074193779418822,0.03305687357377385,8.718542757268554e-09,0.03305686485523109,0
1689,622,0.00034689807728635754,9.592304465781523e-05,0.03337921025795831,1.0963212399090174e-07,0.03337910062583432,0
3877,1384,0.0013738430140100327,-0.001747035302962676,0.03355226306605788,7.187926468036283e-08,0.0335521911867932,0
1207,499,0.00040012500000000014,4.499999999999999e-05,0.03357352518436062,3.568852377303381e-06,0.033569956331983314,0
3308,1281,0.0011683063225345087,-0.001835821235010951,0.034082305177721074,3.04051247806275e-08,0.034082274772596295,0
3502,1301,0.002,-0.0018333333333333333,0.034114395682544804,3.6044118441876554e-08,0.034114359638426364,0
2554,727,0.0005369037385796695,0.00010068758598264056,0.034150619347590144,5.512032687955576e-09,0.03415061383555745,0
522,231,0.0005463750000000005,-2.2500000000000005e-05,0.03428855318535349,2.62859594551491e-09,0.034288550556757544,0
923,388,0.0005276250000000005,1.4999999999999992e-05,0.03446228335751427,3.7002710696184817e-09,0.0344622796572432,0
4065,1406,0.0002528682826605001,-0.0017101146573470373,0.03462395073286142,2.8236642550380505e-09,0.034623947909197164,0
4152,1407,0.0002931700512453749,-0.0017084410577699741,0.03471334528934873,1.2275674944536702e-08,0.03471333301367379,0
3004,828,0.0004885852721786183,-0.00015779337905383195,0.03472759270728562,1.676550523652948e-08,0.034727575941780386,0
2733,753,0.00037878129714001996,0.00020268247475352657,0.03476762731189925,6.678631917872048e-09,0.034767620633267333,0
1858,642,0.0003841493179854505,-9.375340695706517e-05,0.03492392300611126,1.714583663396239e-07,0.03492375154774492,0
320,147,0.00039637500000000013,-3.7500000000000003e-05,0.034955208335943594,7.519600386518392e-06,0.03494768873555708,0
1534,605,0.0003430263342084166,-6.457452227107157e-05,0.035517417179379014,1.3289108504179577e-06,0.035516088268528596,0
3463,1301,0.002,-0.0018333333333333333,0.03604493786412253,3.6044118441876554e-08,0.03604490182000409,0
2863,809,0.0003562386043614697,-0.0002035160303202824,0.03626586318668559,2.7376551071689497e-09,0.03626586044903048,0
2031,660,0.00043342860296878213,0.00011964423651476869,0.036278671939594095,1.374152746961556e-07,0.0362785345243194,0
558,252,0.0004601250000000003,-1.5000000000000005e-05,0.03674039776519825,3.982799064639215e-08,0.036740357937207604,0
67,52,0.00040012500000000014,-6e-05,0.037191178933100005,1.1045510481293354e-06,0.03719007438205187,0
3171,1279,0.0010853696574508723,-0.0018348853894366581,0.037752887986600855,2.731603399001012e-09,0.037752885254997454,0
3202,1279,0.0010853696574508723,-0.0018348853894366581,0.03781146897814174,2.731603399001012e-09,0.03781146624653834,0
4258,1409,0.0003752823907658263,-0.0017092114270423236,0.037991708650018365,3.208013893465805e-08,0.03799167656987943,0
4329,1432,0.001331330508901036,-0.0017097630929053104,0.03802457141652485,5.977987489325365e-09,0.03802456543853736,0
3981,1387,0.0015029018387132948,-0.0017473203703996317,0.038108900975195655,2.180477085144828e-08,0.038108879170424804,0
1216,504,0.00043762500000000024,4.499999999999999e-05,0.0384113727306776,2.127548124811159e-07,0.03841115997586512,0
2367,707,0.00040623743887438605,-0.0001325466043000965,0.038958292525017695,7.728247968619983e-08,0.03895821524253801,0
4188,1408,0.0003352491194219976,-0.001709268843234495,0.03914069104482349,2.90809048727778e-08,0.03914066196391862,0
3840,1383,0.0013348570556488925,-0.0017524623557613741,0.03957132041825196,1.63302481798422e-08,0.03957130408800378,0
3212,1280,0.0011235544737104631,-0.0018311701190403204,0.039734077151444946,1.3513546574396908e-08,0.03973406363789837,0
98,59,0.0004526250000000003,-6e-05,0.04004956775037034,5.974883135408689e-08,0.04004950800153899,0
3825,1366,0.000626945333864304,-0.0017488310248700133,0.04020214067538417,5.823364972043562e-09,0.0402021348520192,0
1834,639,0.00036187734641326974,-9.679548773400577e-05,0.04055038744003731,3.276111116059559e-07,0.040550059828925705,0
1185,489,0.0005688750000000005,3.749999999999999e-05,0.04061589025992589,1.3740536680719103e-09,0.04061588888587222,0
513,227,0.0005163750000000004,-2.2500000000000005e-05,0.04061754402090821,5.053931108360162e-09,0.040617538966977104,0
1183,488,0.0005613750000000006,3.749999999999999e-05,0.040718639629701174,1.8112047365114987e-09,0.04071863781849644,0
1584,613,0.0004116214895004921,8.190306891057295e-05,0.04081431630610297,5.761287149026529e-07,0.04081374017738807,0
1531,605,0.0003430263342084166,-6.457452227107157e-05,0.041447966476123435,1.3289108504179577e-06,0.04144663756527302,0
4339,1432,0.001331330508901036,-0.0017097630929053104,0.04156424617475389,5.977987489325365e-09,0.041564240196766404,0
1298,541,0.00047887500000000035,5.249999999999999e-05,0.04264535762889899,2.4890051393469826e-08,0.042645332738847595,0
