Dloc_max,F0_residual_N_per_m,P_max,Umax_m,Umin_m,ale_accept_scale,ale_geometry_active,block,block_limited_by_birth_clock,case,cycles_connected,cycles_diffuse_abort,cycles_first_embryo,cycles_first_expected_embryo,cycles_first_expected_stable,cycles_first_softening,cycles_first_stable,cycles_front_capture,cycles_front_stalled,cycles_root_connected,cycles_target,cycles_total,cycles_two_horizon_crack,dN,delivery_hit_count,delivery_memory_s,delivery_scale,delivery_source,dep_eq_block_max,dep_eq_cycle_max,effective_scratch_Kt_max,epsp_acc_max,fatigue_model,fatigue_model_preset_applied,fem_scratch_Kt_max,geometry_invalid_reason,geometry_limit_mode,geometry_saturated,geometry_saturation_cycles,geometry_taper_factor,max_blocks_requested,minimum_element_area_over_initial,next_birth_wait_cycles_pre,pd_active_front,pd_active_front_bonds,pd_active_front_length_m,pd_amplification_max,pd_birth_rate_max_per_cycle,pd_bond_damage_max,pd_broken_bonds,pd_completion_max,pd_connected_bonds,pd_connected_extent_m,pd_crack_axial_coverage,pd_crack_boundary_clearance_m,pd_crack_centerline_length_m,pd_crack_local_upper_K_MPam05,pd_crack_max_axial_gap_m,pd_crack_orientation_coherence,pd_crack_orientation_deg,pd_crack_remote_KII_MPam05,pd_crack_remote_KI_MPam05,pd_crack_remote_K_MPam05,pd_crack_slenderness,pd_crack_surface_gap_m,pd_crack_tip_radius_eff_m,pd_crack_tip_width_m,pd_crack_width_m,pd_crack_width_ratio,pd_delivery_events_cycle_max,pd_delivery_memory_max,pd_delivery_rate_max_s,pd_diffuse_abort,pd_effective_stress_max_Pa,pd_embryo_max,pd_expected_births_cumulative,pd_expected_candidate_sites,pd_expected_embryos,pd_expected_stable,pd_front_backbone_bonds,pd_front_candidate_mode,pd_front_eligible_fallback,pd_front_eligible_preferred,pd_front_max_link_rate_per_cycle,pd_front_process_bonds,pd_front_stall_updates,pd_front_stalled,pd_front_wake_bonds,pd_growth_max,pd_handoff_K_pass,pd_handoff_boundary_pass,pd_handoff_competition_pass,pd_handoff_coverage_pass,pd_handoff_front_pass,pd_handoff_length_pass,pd_handoff_orientation_pass,pd_handoff_pass,pd_handoff_slenderness_pass,pd_handoff_surface_pass,pd_handoff_tip_pass,pd_max_rate_per_cycle,pd_nucleation_hazard_cycle_max,pd_nucleation_rate_max_s,pd_off_front_broken_bonds,pd_off_front_broken_fraction,pd_precapture_stalled,pd_primary_seed_node,pd_primary_seed_reselections,pd_primary_seed_stall_updates,pd_realized_births_cumulative,pd_realized_candidate_sites,pd_realized_embryos,pd_realized_stable,pd_stable_max,pd_temporal_transient_cycles,plastic_work_J_per_m,remote_sigma_max_Pa,residual_sigma1_max_Pa,rho_max_m2,rho_mean_m2,root_radius_m,root_radius_over_initial,root_radius_over_spacing,root_x_m,root_y_m,sigma1_cycle_max_Pa,sigma_a_MPa,surface_move_max_m,surface_shear_gamma_nt_max,v9_fem_embedded_error,v9_fem_error_ep_gp,v9_fem_error_epsp_acc_gp,v9_fem_error_rho_gp,v9_fem_rejections
6.25506164310119e-05,-4.467866565423065,0.0002501789912254804,7.390274057963856e-06,7.390370898498033e-07,0.0,False,0,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,4732.681766228638,nan,4732.681766228638,2.0,0.001,1.0,completed_flow,4.84279081722549e-06,1.0236512110602953e-09,5.565341054662099,4.84279081722549e-06,plastic_shielded_case64_M1,True,5.5701299856850355,,terminate,False,nan,1.0,20000,1.0,2948646.7505736556,False,0,0.0,1.0,1.0491550160001346e-07,0.0,0,5.990287238539409e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6434304290479056e-05,3.4613365826716856e-05,0.11442386950740982,False,8539004199.159475,8.470329472543003e-22,0.0014015638890852058,4422.9472349258485,3.488408631636999e-21,0.0014015638784347921,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.0495005073717668e-07,269.198002166304,1332776.2125780848,0,0.0,False,-1,0,0,0,4349,0,0,0.0004964084299619355,982,4.5994495109443055e-05,1534318223.320084,167073.81221750818,1025145722256.6611,1000040913696.3169,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8546351943.298189,690.4432004940379,0.0,0.0,0.7107392285148206,0.1273476213817677,0.1663430697259249,0.7107392285148206,1
0.0001292963261760871,-9.237338696154621,0.0005170850081105405,7.39028554438639e-06,7.390485762723397e-07,0.0,False,1,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,9785.0461959299,nan,5052.364429701262,2.0,0.001,1.0,completed_flow,5.165888474135413e-06,1.022880435213775e-09,5.565046742298866,1.0008679291360903e-05,plastic_shielded_case64_M1,True,5.569826490698873,,terminate,False,nan,1.0,20000,1.0,2956161.803059316,False,0,0.0,1.0,1.044941401313818e-07,0.0,0,5.987477607630748e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6424109544735438e-05,3.460524740879891e-05,0.11438061699163704,False,8538552630.337217,1.0842021724855044e-19,0.0028930012895946513,4422.9472349258485,1.590529693352657e-19,0.002893001267570672,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.044941401313818e-07,268.2275239040841,1328028.7125902928,0,0.0,False,-1,0,0,0,4349,0,0,0.0010239495636384243,739,9.509266119935632e-05,1534318223.320084,345267.11846878537,1052313098724.4254,1000084666264.048,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8545886285.4102335,690.4432004940379,0.0,0.0,0.7869416497699478,0.13544965272017903,0.1729900379683831,0.7869416497699478,0
0.00019934593413806212,-14.245074221402595,0.0007971453354288505,7.390297604623777e-06,7.390606365097435e-07,0.0,False,2,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,15090.028847116224,nan,5304.982651186326,2.0,0.001,1.0,completed_flow,5.4197192220927844e-06,1.0220588712894218e-09,5.564735374127493,1.5428398513453687e-05,plastic_shielded_case64_M1,True,5.569507987436255,,terminate,False,nan,1.0,20000,1.0,2441352.5976901036,False,0,0.0,1.0,1.0400920694919614e-07,0.0,0,5.984624855373275e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6413328120017514e-05,3.459700244285135e-05,0.11433487503929282,False,8538074892.477719,3.3881317890172014e-21,0.004453070765553707,4422.9472349258485,1.2257944412633671e-20,0.004453070731588792,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.2619512652773446e-07,267.2118993286524,1323060.444645166,0,0.0,False,-1,0,0,0,4349,0,0,0.0015749995808508272,758,0.00014664222848290387,1534318223.320084,532185.9135209183,1081197108586.6399,1000130689908.2347,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8545397600.050213,690.4432004940379,0.0,0.0,0.8420949023748588,0.139533062691977,0.17463966853411345,0.8420949023748588,0
0.0002728612496252225,-19.502965087275822,0.0010909983601875561,7.3903102673156785e-06,7.390732992016478e-07,0.0,False,3,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,20660.260630861867,nan,5570.231783745642,2.0,0.001,1.0,completed_flow,5.68579225158819e-06,1.0211976442400842e-09,5.564408612631874,2.1114190765041877e-05,plastic_shielded_case64_M1,True,5.569173742333647,,terminate,False,nan,1.0,20000,1.0,2616775.800122422,False,0,0.0,1.0,1.0351529681890556e-07,0.0,0,5.979461994588522e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6402018258728506e-05,3.458207585089274e-05,0.11428689069185582,False,8537573536.3603115,2.6469779601696886e-23,0.006084826700506941,4422.9472349258485,9.603093244017467e-23,0.006084826654003769,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.1743881540066188e-07,266.1503891698808,1317867.4808516416,0,0.0,False,-1,0,0,0,4349,0,0,0.0021505296834457405,735,0.00020076541338336982,1534318223.320084,728247.9484380973,1111919277149.2205,1000179106528.075,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8544884761.698225,690.4432004940379,0.0,0.0,0.9001495358034176,0.14389558675216313,0.17684479375073192,0.9001495358034176,0
0.00035001183109095724,-25.023495711890813,0.0013993124461747497,7.390323562528578e-06,7.390865944145446e-07,0.0,False,4,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,26509.00400379479,nan,5848.743372932924,2.0,0.001,1.0,completed_flow,5.964674907385891e-06,1.020294912070108e-09,5.5640657058706235,2.7078865672427768e-05,plastic_shielded_case64_M1,True,5.568822986843295,,terminate,False,nan,1.0,20000,1.0,2193162.5884198607,False,0,0.0,1.0,1.0297707050791935e-07,0.0,0,5.972423287070525e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6390154611113283e-05,3.456171552432203e-05,0.11423655633652921,False,8537047408.267625,1.0842021724855044e-19,0.007790875241872581,4422.9472349258485,1.464601259290931e-19,0.007790875182206588,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.397556094187491e-07,265.04117181281885,1312440.8774526548,0,0.0,False,-1,0,0,0,4349,0,0,0.0027513399591269647,751,0.0002575905078029523,1534318223.320084,933890.0180353193,1144610706436.7175,1000230044941.073,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8544346591.157449,690.4432004940379,0.0,0.0,0.9611543315469367,0.14854170528508173,0.17956274940832762,0.9611543315469367,0
0.00039049929427315,-27.921669948626885,0.001561082477064657,7.390330542264066e-06,7.390935741500283e-07,0.0,False,5,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,29579.594274584575,nan,3070.5902707897853,2.0,0.001,1.0,completed_flow,3.129240626443606e-06,1.0193487544625323e-09,5.563797978775936,3.0208106298871374e-05,plastic_shielded_case64_M1,True,5.568638922898712,,terminate,False,nan,1.0,20000,1.0,2935741.7147502103,False,0,0.0,1.0,1.0267666885639671e-07,0.0,0,5.968957147703418e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.638089501935554e-05,3.455168488156053e-05,0.11419727003193769,False,8536636629.707369,4.235164736271502e-22,0.008684398465650096,4422.9472349258485,1.0867164503475493e-21,0.008684398399073333,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.0433678916036668e-07,264.42354281827267,1309429.3538097371,0,0.0,False,-1,0,0,0,4349,0,0,0.0030657009444963928,746,0.00028742194216611146,1534318223.320084,1041760.7825708711,1161951615072.2422,1000256829060.8755,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8544064178.493018,690.4432004940379,0.0,0.0,0.2613048214142289,0.039587872265648714,0.047484871021331115,0.2613048214142289,1
0.00046175511065560393,-33.02411628787009,0.0018457415297011837,7.3903428305955725e-06,7.391058624815295e-07,0.0,False,6,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,34985.77633936425,nan,5406.182064779679,2.0,0.001,1.0,completed_flow,5.505744769140869e-06,1.018852721830682e-09,5.563543679938733,3.571385106801224e-05,plastic_shielded_case64_M1,True,5.568314992104711,,terminate,False,nan,1.0,20000,1.0,2996005.2368157995,False,0,0.0,1.0,1.0221652186329804e-07,0.0,0,5.963759544833943e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6372103616666836e-05,3.4536638106086406e-05,0.11415996980253984,False,8536246454.367279,1.6940658945086003e-21,0.01025186620648355,4422.9472349258485,8.177488061534255e-21,0.010251866127740308,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.0221652186329804e-07,263.43244459536993,1304573.0091724491,0,0.0,False,-1,0,0,0,4349,0,0,0.003616455774035108,732,0.00033994123692152457,1534318223.320084,1231529.005401959,1192777630883.751,1000304054906.1749,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8543567165.572689,690.4432004940379,0.0,0.0,0.7852453635439677,0.11613448823081576,0.13757854452769885,0.7852453635439677,0
0.0005365356705500091,-38.38144584545772,0.0021444160767736253,7.390355732767823e-06,7.391187646537786e-07,0.0,False,7,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,40662.267507382916,nan,5676.491168018663,2.0,0.001,1.0,completed_flow,5.775961853298301e-06,1.0179805593956495e-09,5.563211351665177,4.1489812921310544e-05,plastic_shielded_case64_M1,True,5.567975054328812,,terminate,False,nan,1.0,20000,1.0,3004763.2198878974,False,0,0.0,1.0,1.0172774992060869e-07,0.0,0,5.959080208438375e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.636061846182551e-05,3.4523086074042385e-05,0.11411124015352031,False,8535736557.041038,1.3552527156068805e-20,0.01189134860624864,4422.9472349258485,3.766096302774407e-20,0.011891348514729713,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.0172774992060869e-07,262.36881291272095,1299368.8023100838,0,0.0,False,-1,0,0,0,4349,0,0,0.004191658008310669,743,0.000395082509579967,1534318223.320084,1430576.5046539332,1225550127387.4082,1000353736572.7373,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8543045592.848331,690.4432004940379,0.0,0.0,0.840113693555105,0.12114172298705483,0.14185883627080254,0.840113693555105,0
0.0006150133557855098,-44.00637866635097,0.002457784904926208,7.390369279414782e-06,7.39132311300735e-07,0.0,False,8,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,46622.583233802514,nan,5960.315726419597,2.0,0.001,1.0,completed_flow,6.059180113577601e-06,1.017066389923402e-09,5.56286260634484,4.7548993034888144e-05,plastic_shielded_case64_M1,True,5.567618328392729,,terminate,False,nan,1.0,20000,1.0,2236868.4436542266,False,0,0.0,1.0,1.0118996901458678e-07,0.0,0,5.953711311557832e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.634857113788433e-05,3.450753041927461e-05,0.11406012483848266,False,8535201470.740747,8.470329472543003e-22,0.013605367693720154,4422.9472349258485,3.3812730969335767e-22,0.013605367588789215,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.3582773389034807e-07,261.2574673490305,1293930.8795410665,0,0.0,False,-1,0,0,0,4349,0,0,0.004792073001157705,737,0.0004529764574637499,1534318223.320084,1639346.2371347372,1260406718479.1394,1000406006289.5713,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8542498261.743869,690.4432004940379,0.0,0.0,0.8978477414683942,0.12639202409359757,0.1464188072218059,0.8978477414683942,0
0.0006973687790323702,-49.91226838640632,0.002786558533195427,7.390383502696282e-06,7.391465345822463e-07,0.0,False,9,False,shielded,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100000000.0,52880.91474654309,nan,6258.331512740577,2.0,0.001,1.0,completed_flow,6.35599891292902e-06,1.0161082723846236e-09,5.562496643254508,5.3904991947817164e-05,plastic_shielded_case64_M1,True,5.56724399598412,,terminate,False,nan,1.0,20000,1.0,3023723.64422963,False,0,0.0,1.0,1.0064464423376401e-07,0.0,0,5.948138698790705e-10,0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0,inf,2.6335934752498527e-05,3.449137710548322e-05,0.11400650968640229,False,8534639966.902187,1.3552527156068805e-20,0.015397219162446402,4422.9472349258485,4.3536638647179453e-20,0.015397219043433677,0,0,0,0,0.0,0,0,False,0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.0064464423376401e-07,260.0965479269508,1288250.103872449,0,0.0,False,-1,0,0,0,4349,0,0,0.005418724803945199,738,0.0005137602726927992,1534318223.320084,1858301.2205352737,1297495837913.6248,1000461003825.903,4.553794235144863e-05,1.0,6.071725646859802,0.00036,0.0,8541923916.70776,690.4432004940379,0.0,0.0,0.9584929064112244,0.1318957445711261,0.15126382925898652,0.9584929064112244,0
