site_id,pd_node_id,site_threshold,node_cumulative_action,remaining_threshold_action,site_status
2925,311,0.000424716203662,1.3917620038740118e-27,0.000424716203662,0
304,47,0.0004990457190917104,3.2653298563260655e-24,0.0004990457190917104,0
2393,285,0.0007467264064276312,1.7971464052924428e-29,0.0007467264064276312,0
2583,293,0.000806600523193177,2.2904022022242663e-25,0.000806600523193177,0
1694,252,0.0009818333029248062,3.680203867121252e-24,0.0009818333029248062,0
532,85,0.0013632315386613832,1.0042175829288735e-24,0.0013632315386613832,0
3240,445,0.001703558116857605,1.8479717796752564e-28,0.001703558116857605,0
3595,481,0.0017971187492930316,8.455631988510236e-28,0.0017971187492930316,0
1168,188,0.0022121515924584337,3.369087753803011e-25,0.0022121515924584337,0
735,113,0.0024509414993986304,6.522364782853238e-27,0.0024509414993986304,0
3012,314,0.002574295918987775,1.8188522307993302e-29,0.002574295918987775,0
2746,304,0.0026397941373587806,1.3430007815748096e-23,0.0026397941373587806,0
149,30,0.002797061107666486,4.960652443641312e-25,0.002797061107666486,0
3426,462,0.002948850583484583,7.0960596185736065e-28,0.002948850583484583,0
1751,254,0.0036081352710593414,4.444272633072384e-25,0.0036081352710593414,0
2953,312,0.0042600280068949975,7.060426745125837e-28,0.0042600280068949975,0
2608,295,0.004371041026462114,3.601852263090341e-23,0.004371041026462114,0
3402,461,0.004715271293452257,4.1238349233958415e-25,0.004715271293452257,0
1417,229,0.004724529492637021,1.2323188017867336e-25,0.004724529492637021,0
2709,301,0.00478823465927818,2.711902352452219e-29,0.00478823465927818,0
14,5,0.004801264627448138,2.13853008760558e-32,0.004801264627448138,0
2295,279,0.004902812122360056,4.720321602639091e-29,0.004902812122360056,0
307,47,0.005428441443209028,3.2653298563260655e-24,0.005428441443209028,0
514,80,0.005599865859887011,2.9127952039737127e-29,0.005599865859887011,0
3137,320,0.005622360647082825,4.0925210459649844e-29,0.005622360647082825,0
2415,286,0.005865344382755625,3.7282029548774426e-28,0.005865344382755625,0
17,6,0.005924229531480505,1.22103787351875e-27,0.005924229531480505,0
1223,196,0.006235332127857344,1.4034072219554553e-28,0.006235332127857344,0
3431,462,0.006309708968009912,7.0960596185736065e-28,0.006309708968009912,0
2534,291,0.007595047673392628,7.556088463223721e-29,0.007595047673392628,0
1014,158,0.007844150272717062,3.2671154367787785e-29,0.007844150272717062,0
638,99,0.007891097354024173,4.4956070198971693e-29,0.007891097354024173,0
3412,461,0.008018301311655795,4.1238349233958415e-25,0.008018301311655795,0
2522,290,0.008111408400304658,2.4717911348676296e-29,0.008111408400304658,0
1189,191,0.008138956850505629,1.7571561589824764e-26,0.008138956850505629,0
3521,463,0.008201377798370475,2.3839198970416273e-30,0.008201377798370475,0
237,38,0.008433441909971251,6.681718510836014e-29,0.008433441909971251,0
3105,318,0.008824244470736115,6.637070448747963e-29,0.008824244470736115,0
2545,292,0.008873227945427524,7.997209463249716e-29,0.008873227945427524,0
2567,293,0.009344974853573074,2.2904022022242663e-25,0.009344974853573074,0
3762,489,0.009426340450124256,4.7018978326794854e-30,0.009426340450124256,0
3253,452,0.010005820430790114,5.941349408358543e-24,0.010005820430790114,0
3154,443,0.010300471492926398,1.9721031459475644e-32,0.010300471492926398,0
2966,312,0.010775094094084479,7.060426745125837e-28,0.010775094094084479,0
2730,303,0.010879819550939609,2.4138211685067403e-22,0.010879819550939609,0
3189,444,0.011076300871990725,3.2308369680466237e-28,0.011076300871990725,0
1112,176,0.011323159619083412,1.056206019351643e-28,0.011323159619083412,0
1589,246,0.011517954378084297,1.5976570676742676e-24,0.011517954378084297,0
366,55,0.011543416116524955,1.381146375873703e-27,0.011543416116524955,0
3118,319,0.011584029885307975,1.5230842608637033e-29,0.011584029885307975,0
1231,197,0.011997843366272472,6.572664010847163e-29,0.011997843366272472,0
2399,285,0.01202560987106608,1.7971464052924428e-29,0.01202560987106608,0
525,85,0.012279921241440768,1.0042175829288735e-24,0.012279921241440768,0
1989,265,0.012604323573102842,1.4071389461247375e-21,0.012604323573102842,0
2002,266,0.013167852755771394,1.3929564889003732e-27,0.013167852755771394,0
3512,463,0.014389013940343929,2.3839198970416273e-30,0.014389013940343929,0
1841,259,0.015158105250378626,2.7057471472795516e-26,0.015158105250378626,0
502,78,0.01535565226622199,1.3043272196985426e-28,0.01535565226622199,0
3714,487,0.015368380995739828,2.9883249935968477e-24,0.015368380995739828,0
1179,189,0.015475078253614317,1.1490887600382912e-25,0.015475078253614317,0
3293,453,0.015581121490384526,5.656385692464863e-26,0.015581121490384526,0
2098,270,0.015742899461322363,5.680891685164823e-24,0.015742899461322363,0
2466,288,0.015817065915781477,1.93493969726597e-27,0.015817065915781477,0
330,50,0.01629016808399668,2.0912112070604913e-25,0.01629016808399668,0
942,148,0.01650164110233989,2.1454217678611788e-25,0.01650164110233989,0
1706,253,0.016510068525792194,1.4637357022017424e-24,0.016510068525792194,0
2262,276,0.016854623037721086,1.8526917135139477e-26,0.016854623037721086,0
2290,278,0.018081666810008286,1.862495501842197e-27,0.018081666810008286,0
2215,274,0.01856041955329117,2.4989340008632977e-26,0.01856041955329117,0
3603,481,0.018715661785467942,8.455631988510236e-28,0.018715661785467942,0
3176,444,0.018808616196201174,3.2308369680466237e-28,0.018808616196201174,0
1073,170,0.01890307783610336,2.6084578974784926e-26,0.01890307783610336,0
2527,290,0.019385305769286716,2.4717911348676296e-29,0.019385305769286716,0
3506,463,0.019487335896951594,2.3839198970416273e-30,0.019487335896951594,0
3336,454,0.019546754895287656,4.348567572686123e-30,0.019546754895287656,0
2761,305,0.01975303628593591,7.150180119874699e-25,0.01975303628593591,0
775,119,0.01980720152952787,3.1819736534466136e-29,0.01980720152952787,0
2620,297,0.01985968664023396,2.8967584601099325e-20,0.01985968664023396,0
1797,257,0.02069073615697215,1.6759273083987564e-26,0.02069073615697215,0
2705,301,0.020806322998022257,2.711902352452219e-29,0.020806322998022257,0
1265,204,0.02090825340825755,3.902466855730662e-24,0.02090825340825755,0
3620,481,0.02111328515919211,8.455631988510236e-28,0.02111328515919211,0
1615,247,0.021157613924889004,6.590791384412802e-24,0.021157613924889004,0
2814,306,0.021269249054871542,2.1132916639841704e-26,0.021269249054871542,0
3183,444,0.021594882160294974,3.2308369680466237e-28,0.021594882160294974,0
3019,314,0.021612562906430394,1.8188522307993302e-29,0.021612562906430394,0
1376,224,0.022076678609046708,2.46131712388156e-24,0.022076678609046708,0
3772,489,0.02220978833887285,4.7018978326794854e-30,0.02220978833887285,0
570,90,0.02271212828871808,1.6816710561776673e-25,0.02271212828871808,0
1548,245,0.02297859979355345,4.4503102314880855e-25,0.02297859979355345,0
2469,288,0.023283670350952676,1.93493969726597e-27,0.023283670350952676,0
577,91,0.023835033825394744,6.430096136261102e-26,0.023835033825394744,0
622,97,0.02511707047912959,2.394092635032564e-28,0.02511707047912959,0
1749,254,0.025502751780462976,4.444272633072384e-25,0.025502751780462976,0
2927,311,0.02610320807068895,1.3917620038740118e-27,0.02610320807068895,0
1829,258,0.02613759001323909,1.1144489704144987e-26,0.02613759001323909,0
83,18,0.02620360962414814,3.940083183919697e-34,0.02620360962414814,0
959,150,0.02666859196425258,3.841562158646549e-26,0.02666859196425258,0
2499,290,0.026904096991828493,2.4717911348676296e-29,0.026904096991828493,0
1858,259,0.026925839060825192,2.7057471472795516e-26,0.026925839060825192,0
3148,443,0.027264345750735833,1.9721031459475644e-32,0.027264345750735833,0
2876,309,0.027285174048591796,1.2246685840617077e-29,0.027285174048591796,0
877,135,0.027828504940112683,6.726795241245832e-28,0.027828504940112683,0
2584,294,0.02819575627790384,2.8640894165112103e-25,0.02819575627790384,0
