sigma_a_MPa,sigma_min_MPa,sigma_max_MPa,N10_attempt,N50_attempt,N90_attempt,root_opening_max_MPa,FEM_sigma1_hotspot_max_MPa,mechanics_validity_class,action_source_path,exact_or_interpolated,source_commit
2500,555.5555555555555,5555.555555555556,0.18635203565226038,1.225975283980834,4.072601739493445,10815.791007292099,11298.284607135061,not_recorded,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/attempt_2500/Peak/shielded/sigmaA_2500MPa/sn_stateful_pd_history.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
2250,500.0,5000.0,11.523009841763123,75.80773246518672,251.82783628580853,10003.008697976456,10168.456146421557,not_recorded,runs/sn_v9_shared_root_m1_peak/sn_matrix_v1/attempt_2250/Peak/shielded/sigmaA_2250MPa/sn_stateful_pd_history.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
2000,444.44444444444446,4444.444444444444,1596.0901451407099,10500.379361260359,34881.50521266846,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
1820,404.44444444444446,4044.4444444444443,97067.13496708259,638586.2170300657,2121338.68704313,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,exact_action_boundary,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
1630,362.22222222222223,3622.222222222222,12861317.85735556,84612211.2690013,281075681.7713245,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
1500,333.3333333333333,3333.333333333333,513322825.50184876,3377055123.1199546,11218334293.864714,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,exact_action_boundary,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
1460,324.44444444444446,3244.4444444444443,1690784860.837121,11123358232.34837,36950996221.065414,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
1290,286.6666666666667,2866.6666666666665,364528585144.5435,2398165569495.4053,7966533581595.794,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
1172,260.44444444444446,2604.4444444444443,20357136436243.945,133925803589374.98,444891889610393.44,nan,nan,not_recorded,runs/sn_v9_shared_root_m1_peak/attempt_sn_v1/Peak_blunt_m1_attempt_SN_v2.csv,interpolated_actual_action,ce93ccf85e306299d3e391d9bf0a6a908aa20dd0
