condition_id,sigma_a_MPa,N_front_capture_diagnostic,N_physical_handoff_diagnostic,legacy_status
K360_CENSOR,690.4432004940379,,,right_censored
K360_FAILURE,735.9214951373579,2351351.1527808355,3474029.481029375,physical_handoff
S001_BOOTSTRAP_804p139,804.1389371023378,653389.5922727421,1632430.8572813324,physical_handoff
S002_906p465,906.4651000498077,705449.7041807148,1530050.8767582285,physical_handoff
S003_1059p954,1059.9543444710125,621098.5273013591,1121439.5546734717,physical_handoff
