condition_id,case,sigma_a_MPa,seed,classification,cycles,geometry_valid,handoff_valid,request_sha256
K360_CENSOR,shielded,690.4432004940379,1,right_censored,100000000.0,True,False,de2400d707eb0a1db48ba5c92ce5b8d514a98909de16798912581113d9f500f8
K360_FAILURE,shielded,735.9214951373579,1,physical_handoff,3474029.481029375,True,True,678706754fc2904073132c4cc2d8fed82b9572d3c627e6fedfba308936167ddc
S001_BOOTSTRAP_804p139,shielded,804.1389371023378,1,physical_handoff,1632430.8572813324,True,True,19bd142bf9c6da5dee82df1a1409e44a674f99480b23fa8fae3ae3571efd3e3d
S002_906p465,shielded,906.4651000498077,1,physical_handoff,1530050.8767582285,True,True,3843fdc56e6b89885fba6d13a3f96c547ae96e4d73f9c504eb02b8e67dcc1811
