condition_id,T_K,sigma_a_MPa,N_first_embryo_birth,N_stable_crack_birth,N_front_capture_diagnostic,N_physical_handoff_diagnostic,first_embryo_site_id,stable_site_id,classification
K360_CENSOR,300.0,690.4432004940379,,,,,,,right_censored
K360_FAILURE,300.0,735.9214951373579,1793122.6505426324,1793124.873503177,2351351.1527808355,3474029.481029375,13,13,stable_crack_birth
S001_BOOTSTRAP_804p139,300.0,804.1389371023378,108920.58284573522,108922.8058062798,653389.5922727421,1632430.8572813324,13,13,stable_crack_birth
S002_906p465,300.0,906.4651000498077,5599.919268826846,5602.142229371419,705449.7041807148,1530050.8767582285,13,13,stable_crack_birth
S003_1059p954,300.0,1059.9543444710125,109.93177793795907,112.15473848253177,621098.5273013591,1121439.5546734717,13,13,stable_crack_birth
