comparison,accelerated_or_restart,direct_or_uninterrupted,cycles,cycle_identity,H_attempt_accelerated,H_attempt_direct,H_relative_error,emitted_total_accelerated,emitted_total_direct,emitted_relative_error,tip_radius_absolute_error_m,threshold_identity,attempt_count_identity,campaign_accepted_projected_cycles,campaign_exact_map_evaluations,cycles_per_exact_map,accelerated_summary_sha256,direct_summary_sha256
64_cycle_overlap,shared_root_high_cycle_overlap_v2,shared_root_high_cycle_overlap_direct_v2,10064.0,True,2.065655718061645e-06,2.0656557180635936e-06,9.433320751945984e-13,6.195329164357316e-14,6.19532916435758e-14,4.257967247705722e-14,0.0,True,True,64.0,3,21.333333333333332,8d7a1bf769272121bf85a807da7dcad7623e092dd82b8278b42d51636b7ac530,8b7ece1e764bc5c8a5e702b815cf63de17a53020b310a41d3b0c5b6a5d52ac81
100000_cycle_overlap,shared_root_high_cycle_overlap_1e5,shared_root_high_cycle_overlap_1e5_direct,110000.0,True,2.2577715511259905e-05,2.257771551420305e-05,1.303561789673359e-10,6.771524223030901e-13,6.771524243101281e-13,2.963938351067995e-09,0.0,True,True,100000.0,6,16666.666666666668,f8af1271600ee444647aa41b81e0ea2826fb1bcf1abf68e7c500218c210f5eb1,73861a51deb97a98585e04a0b558f748b8915374bcf13f25b615dab1cbab4a19
1e8_cycle_overlap,shared_root_high_cycle_1e8,shared_root_high_cycle_1e8_direct_macro,100000000.0,True,0.020525195920635127,0.020525195926738148,2.9734287985550275e-10,6.155927018698546e-10,6.155926787552291e-10,3.75485710494316e-08,0.0,True,True,99990000.0,12,8332500.0,e0b16ca8ca22ac0b147206ae3076a56c84ae69f476150b0c5df92d515cbaa924,d64da0c26293cd15a2bfe9bb305336ea735d06492072dcf0bfcf3ea34e171e5f
persisted_restart_to_1p1e8,shared_root_high_cycle_restart_1e8_to_1p1e8,shared_root_high_cycle_1p1e8,110000000.0,True,0.022577715512846708,0.022577715512842808,1.7272156573049351e-13,6.771519601669878e-10,6.771519601669839e-10,5.8024020319722235e-15,0.0,True,True,10000000.0,3,3333333.3333333335,de8eef42fae289a40698d8bace75045c81d7365e66b6dd3ee0ae969441b6ba3c,1f6f38e874965d8a8e835f9b879b8568cc9b09a4ea7935ce5114d4ec57b906e8
