sigma_a_MPa,quantile,target_action,N_cycles_stationary_action_projection,basis_H,basis_N,action_per_cycle_projection,quantity,not_stable_front_survival,representation
1500.0,N10,0.10536051565782628,513322825.5024922,0.037363528078493934,182037375.9965509,2.052519592416113e-10,global_attempt_first_passage,True,analytical_exponential_threshold_inversion_using_trajectory_supported_mean_action
1500.0,N50,0.6931471805599453,3377055123.473928,0.037363528078493934,182037375.9965509,2.052519592416113e-10,global_attempt_first_passage,True,analytical_exponential_threshold_inversion_using_trajectory_supported_mean_action
1500.0,N90,2.3025850929940455,11218334292.65135,0.037363528078493934,182037375.9965509,2.052519592416113e-10,global_attempt_first_passage,True,analytical_exponential_threshold_inversion_using_trajectory_supported_mean_action
2000.0,N10,0.10536051565782628,1596.0534576183877,0.037363528078493934,566.0012938069962,6.601314959402676e-05,global_attempt_first_passage,True,analytical_exponential_threshold_inversion_using_trajectory_supported_mean_action
2000.0,N50,0.6931471805599453,10500.138000121497,0.037363528078493934,566.0012938069962,6.601314959402676e-05,global_attempt_first_passage,True,analytical_exponential_threshold_inversion_using_trajectory_supported_mean_action
2000.0,N90,2.3025850929940455,34880.703422798,0.037363528078493934,566.0012938069962,6.601314959402676e-05,global_attempt_first_passage,True,analytical_exponential_threshold_inversion_using_trajectory_supported_mean_action
