branch_id,selected_site,selected_node,mark_probability,transition_threshold,transition_outcome_uniform,cycles_checkpoint,cycles_first_stable,stable_sites,front_capture,right_censored
B000,2716,302,0.016321320443042908,0.4484997321801326,0.42726704241974656,3377290122.7962513,3377055124.016954,1,,True
B001,800,124,0.11541407775877782,0.8188329117222578,0.5430660555982426,3377055223.1199546,3377055124.7576203,1,,True
B002,803,124,0.11541407775877782,1.3193416697245375,0.7068104771423399,3377055223.1199546,3377055125.758638,1,,True
B003,800,124,0.11541407775877782,1.9449978988656607,0.3372332215074405,3377055223.1199546,3377055127.00995,1,,True
