model,geometry,sigma_a_MPa,sigma_min_MPa,sigma_max_MPa,N,nominal_a_um,nominal_b_um,nominal_rho_um,mesh_root_radius_um,analytical_Kt,FEM_Kt,root_node,root_opening_max_MPa,effective_cleavage_max_MPa,raw_m1_action_per_cycle,m3_action_per_cycle,cumulative_action,cycle_hazard,backstress_max_Pa,shielding_Pa_sqrt_m,tip_radius_um,mobile_positive,mobile_negative,retained_positive,retained_negative,slip_positive,slip_negative,aggregate_emission,conditional_attempt_admission_probability,rejected_phase_xi_fraction,minimum_admitted_length_m,maximum_admitted_length_m,minimum_energy_gate_margin_J_per_m,endpoint,event_or_censor_cycle,checkpoint_generation,data_role,tensor_sha256
FEM_v3,K360_sharp,735.9214951373579,163.53811003052397,1635.3811003052397,100000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483212,23,9101.686428683626,9101.686428683603,0.20263888660982582,8.829782039937403e-08,8.829782039936095,8.829782039937403e-08,1582.6257086041253,-7.669089855829187e-59,45.53794235144887,6.900720267383359e-10,6.900720267383359e-10,3.485382466684691e-61,3.485382466684691e-61,6.900720267383359e-10,6.900720267383359e-10,1.3801440534766718e-09,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,nan,energy_admissible_stable_birth_process,100000000.0,generation_9b32a60a6bed4566b0d751eeb7240474,direct_atomic_checkpoint,f4c16a9404e5536cfe8150fc26f9c84fdfa17eca96f4fb1933f387f37d96e0e2
FEM_v3,K360_sharp,735.9214951373579,163.53811003052397,1635.3811003052397,10000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483212,23,9101.686428683626,9101.686428681236,0.20263888660780185,8.829782039674687e-08,882.9782039804766,8.829782039674687e-08,15826.188596685624,-7.669023478809893e-57,45.53794235147256,6.900660540707713e-08,6.900660540707713e-08,3.4853523002237968e-59,3.4853523002237968e-59,6.900660540707713e-08,6.900660540707713e-08,1.3801321081415425e-07,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,nan,energy_admissible_stable_birth_process,10000000000.0,generation_e2f6c8dc0b864180ab591eab0926f879,direct_atomic_checkpoint,f4c16a9404e5536cfe8150fc26f9c84fdfa17eca96f4fb1933f387f37d96e0e2
FEM_v3,K360_sharp,735.9214951373579,163.53811003052397,1635.3811003052397,1000000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483212,23,9101.686428683626,9101.686428444502,0.2026388864053166,8.829782013390785e-08,88297.82026662635,8.829782013390785e-08,158255.02976816223,-7.66835902053557e-55,45.53794235384144,6.90006265480904e-06,6.90006265480904e-06,3.4850503229014933e-57,3.4850503229014933e-57,6.90006265480904e-06,6.90006265480904e-06,1.380012530961808e-05,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,nan,energy_admissible_stable_birth_process,1000000000000.0,generation_5c6321c750bf4788b08f46ff94956096,direct_atomic_checkpoint,f4c16a9404e5536cfe8150fc26f9c84fdfa17eca96f4fb1933f387f37d96e0e2
FEM_v3,K360_sharp,735.9214951373579,163.53811003052397,1635.3811003052397,100000000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483212,23,9101.686428683626,9101.686404792837,0.2026388661754802,8.829779387430874e-08,8829780.713400843,8.829779387430874e-08,1581830.1427267229,-7.661381485300024e-53,45.53794259051145,0.0006893784201991106,0.0006893784201991106,3.481879232273032e-55,3.481879232273032e-55,0.0006893784201991106,0.0006893784201991106,0.0013787568403982211,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,nan,energy_admissible_stable_birth_process,100000000000000.0,generation_84ee7f4884f34a6a8e3dc2ccc10e0826,direct_atomic_checkpoint,f4c16a9404e5536cfe8150fc26f9c84fdfa17eca96f4fb1933f387f37d96e0e2
FEM_v3,K360_sharp,650.0,144.44444444444443,1444.4444444444443,100000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483214,23,8039.031632769654,8039.031632769637,0.0013901772287647784,3.080632574901563e-14,3.080632574736409e-06,3.080632574901563e-14,1400.9347132015055,-9.97368651180683e-64,45.53794235144882,5.407216810943225e-10,5.407216810943225e-10,4.532755872412143e-66,4.532755872412143e-66,5.407216810943225e-10,5.407216810943225e-10,1.081443362188645e-09,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606116028e-05,energy_admissible_stable_birth_process,100000000.0,generation_a5fd0ae8703b4ac7bb970498da0a6df6,direct_atomic_checkpoint,218a90a1ee470cb2e7b4acc8e7262801e011a1b6f6bfae4af828a2c9a05500e8
FEM_v3,K360_sharp,650.0,144.44444444444443,1444.4444444444443,10000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483214,23,8039.031632769654,8039.031632767998,0.0013901772287529721,3.0806325748233795e-14,0.00030806325746972997,3.0806325748233795e-14,14009.29422480955,-9.973611179404753e-62,45.53794235146738,5.407175969612346e-08,5.407175969612346e-08,4.5327216359853725e-64,4.5327216359853725e-64,5.407175969612346e-08,5.407175969612346e-08,1.0814351939224692e-07,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606116021e-05,energy_admissible_stable_birth_process,10000000000.0,generation_2574aeda580b4764bebde3de8f466e5b,direct_atomic_checkpoint,218a90a1ee470cb2e7b4acc8e7262801e011a1b6f6bfae4af828a2c9a05500e8
FEM_v3,K360_sharp,650.0,144.44444444444443,1444.4444444444443,1000000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483214,23,8039.031632769654,8039.031632604157,0.001390177227573142,3.080632567009815e-14,0.030806325707904886,3.080632567009815e-14,140087.6479838712,-9.972857366482178e-60,45.53794235332359,5.406767291246284e-06,5.406767291246284e-06,4.532379049525745e-62,4.532379049525745e-62,5.406767291246284e-06,5.406767291246284e-06,1.0813534582492568e-05,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606115335e-05,energy_admissible_stable_birth_process,1000000000000.0,generation_f5ba23815757402c9fc6a9b7d73f4664,direct_atomic_checkpoint,218a90a1ee470cb2e7b4acc8e7262801e011a1b6f6bfae4af828a2c9a05500e8
FEM_v3,K360_sharp,650.0,144.44444444444443,1444.4444444444443,100000000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483214,23,8039.031632769654,8039.031616232959,0.0013901771096839033,3.080631786277567e-14,3.0806321803516563,3.080631786277567e-14,1400322.3389496268,-9.964969054982723e-58,45.53794253879634,0.0005402490656874499,0.0005402490656874499,4.528794037080223e-60,4.528794037080223e-60,0.0005402490656874499,0.0005402490656874499,0.0010804981313748997,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,9.203776606046895e-05,energy_admissible_stable_birth_process,100000000000000.0,generation_5c9239f04ae143e28f016f39ded1cd3d,direct_atomic_checkpoint,218a90a1ee470cb2e7b4acc8e7262801e011a1b6f6bfae4af828a2c9a05500e8
FEM_v3,K360_sharp,631.0,140.22222222222223,1402.2222222222222,100000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483213,23,7804.044554273309,7804.044554273294,0.0004005679732658607,7.468103527477585e-16,7.46810352744461e-08,7.468103527477585e-16,1363.9920031270003,-7.625858108029687e-65,45.537942351448805,5.125799786362766e-10,5.125799786362766e-10,3.465734868506823e-67,3.465734868506823e-67,5.125799786362766e-10,5.125799786362766e-10,1.0251599572725531e-09,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,8.652723072340401e-05,energy_admissible_stable_birth_process,100000000.0,generation_05c372cad6c44c6d8a68bc6081879a9f,direct_atomic_checkpoint,ae1162a119efd3a6ce9c524cb421d83b6dc2f8b3866efc2165b728f926e93a95
FEM_v3,K360_sharp,631.0,140.22222222222223,1402.2222222222222,10000000000.0,360.0,127.2792206135786,45.0,45.537942351448635,6.656854249492378,5.565483439483213,23,7804.044554273309,7804.044554271784,0.00040056797326258793,7.468103527295157e-16,7.468103527353516e-06,7.468103527295157e-16,13639.87005149764,-7.62580222237154e-63,45.537942351466405,5.125762222236796e-08,5.125762222236796e-08,3.4657094700701692e-65,3.4657094700701692e-65,5.125762222236796e-08,5.125762222236796e-08,1.0251524444473592e-07,1.0,0.0,2.2973400956248734e-06,1.8378720764998988e-05,8.652723072340396e-05,energy_admissible_stable_birth_process,10000000000.0,generation_41f6ee073e574135ba4b61b95f728edc,direct_atomic_checkpoint,ae1162a119efd3a6ce9c524cb421d83b6dc2f8b3866efc2165b728f926e93a95
