sigma_a_MPa,quantile,target_action,cycles,interpolated_cycles,absolute_interpolation_error_cycles,relative_interpolation_error,lower_checkpoint_cycles,upper_checkpoint_cycles,method,trajectory_supported,exact_endpoint_run
1172.0,N10,0.10536051565782628,20357136436243.945,20357136436243.945,,,10000000000000.0,100000000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1172.0,N50,0.6931471805599453,133925803589374.98,133925803589374.98,,,100000000000000.0,1000000000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1172.0,N90,2.3025850929940455,444891889610393.44,444891889610393.44,,,100000000000000.0,1000000000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1290.0,N10,0.10536051565782628,364528585144.5435,364528585144.5435,,,100000000000.0,1000000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1290.0,N50,0.6931471805599453,2398165569495.4053,2398165569495.4053,,,1000000000000.0,10000000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1290.0,N90,2.3025850929940455,7966533581595.794,7966533581595.794,,,1000000000000.0,10000000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1460.0,N10,0.10536051565782628,1690784860.837121,1690784860.837121,,,1000000000.0,10000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1460.0,N50,0.6931471805599453,11123358232.34837,11123358232.34837,,,10000000000.0,100000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1460.0,N90,2.3025850929940455,36950996221.065414,36950996221.065414,,,10000000000.0,100000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1500.0,N10,0.10536051565782628,513322825.50184876,513322825.50184876,,,100000000.0,1000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1500.0,N50,0.6931471805599453,3377055123.1199546,3377055123.7406697,0.6207151412963867,1.8380367470073382e-10,1000000000.0,10000000000.0,exact_ordered_phase_action_boundary_localization,True,True
1500.0,N90,2.3025850929940455,11218334293.864714,11218334293.864714,,,10000000000.0,100000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1630.0,N10,0.10536051565782628,12861317.85735556,12861317.85735556,,,10000000.0,100000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1630.0,N50,0.6931471805599453,84612211.2690013,84612211.2690013,,,10000000.0,100000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1630.0,N90,2.3025850929940455,281075681.7713245,281075681.7713245,,,100000000.0,1000000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1820.0,N10,0.10536051565782628,97067.13496708259,97067.13496708259,,,10000.0,100000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
1820.0,N50,0.6931471805599453,638586.2170300657,638586.5758892479,0.358859182219021,5.61958859506868e-07,100000.0,1000000.0,exact_ordered_phase_action_boundary_localization,True,True
1820.0,N90,2.3025850929940455,2121338.68704313,2121338.68704313,,,1000000.0,10000000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
2000.0,N10,0.10536051565782628,1596.0901451407099,1596.0901451407099,,,1000.0,10000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
2000.0,N50,0.6931471805599453,10500.379361260359,10500.379361260359,,,10000.0,100000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
2000.0,N90,2.3025850929940455,34881.50521266846,34881.50521266846,,,10000.0,100000.0,piecewise_linear_inversion_of_actual_cumulative_action,True,False
