sigma_a_MPa,cycles,H_attempt,S_no_attempt,numerical_mode,state_error,hazard_error,action_source
1172.0,64.0,3.312387783420522e-13,0.9999999999996687,exact_private_window,4.7318399667745024e-11,6.764366844436154e-11,direct_integral_from_partition_qualified_private_window
1172.0,128.0,6.624775566392932e-13,0.9999999999993375,exact_private_window,1.2602252576373048e-11,4.206412995699793e-11,direct_integral_from_partition_qualified_private_window
1172.0,1000.0,5.175605910559551e-12,0.9999999999948244,exact_private_window,1.3876774588604528e-10,6.0680349633912556e-12,direct_integral_from_partition_qualified_private_window
1172.0,10000.0,5.175605910525595e-11,0.999999999948244,exact_private_window,4.743371934305261e-10,2.98072677651362e-11,direct_integral_from_partition_qualified_private_window
1172.0,100000.0,5.175605910799904e-10,0.9999999994824395,exact_private_window,1.4976434482002058e-09,2.0296653246987262e-11,direct_integral_from_partition_qualified_private_window
1172.0,1000000.0,5.175605910638266e-09,0.9999999948243941,exact_private_window,4.737584536375849e-09,1.8250290167998173e-11,direct_integral_from_partition_qualified_private_window
1172.0,10000000.0,5.1756059107920097e-08,0.9999999482439422,exact_private_window,1.498092999121713e-08,3.707256723828323e-11,direct_integral_from_partition_qualified_private_window
1172.0,100000000.0,5.1756059110313e-07,0.9999994824395428,exact_private_window,4.736903031061451e-08,2.1326940213839407e-11,direct_integral_from_partition_qualified_private_window
1172.0,1000000000.0,5.175605910561074e-06,0.9999948244074829,exact_private_window,1.497747162988285e-07,1.3674394949703128e-11,direct_integral_from_partition_qualified_private_window
1172.0,10000000000.0,5.1756059105987286e-05,0.9999482452802158,exact_private_window,5.524561679464748e-08,1.4912515666765103e-11,direct_integral_from_partition_qualified_private_window
1172.0,100000000000.0,0.0005175605910666386,0.9994825733203127,exact_private_window,1.1569865613576111e-07,1.326405651980167e-11,direct_integral_from_partition_qualified_private_window
1172.0,1000000000000.0,0.005175605910625724,0.9948377644611085,exact_private_window,1.1059717437219343e-07,2.3947066551954777e-11,direct_integral_from_partition_qualified_private_window
1172.0,10000000000000.0,0.05175605910592763,0.9495604752236652,stationary,0.0,0.0,stationary_propagation_after_certificate
1172.0,100000000000000.0,0.5175605910215529,0.5959725970835453,stationary,0.0,0.0,stationary_propagation_after_certificate
1172.0,1000000000000000.0,5.175605909483661,0.005652790796546633,stationary,0.0,0.0,stationary_propagation_after_certificate
1172.0,1e+16,51.756059096085416,3.3314180119849226e-23,stationary,0.0,0.0,stationary_propagation_after_certificate
1290.0,64.0,1.8498063739578183e-11,0.9999999999815019,exact_private_window,5.720455386202523e-11,2.7554847292776685e-11,direct_integral_from_partition_qualified_private_window
1290.0,128.0,3.699612748017586e-11,0.9999999999630039,exact_private_window,1.6491918943679846e-11,3.044675622732029e-11,direct_integral_from_partition_qualified_private_window
1290.0,1000.0,2.890322459304735e-10,0.9999999997109678,exact_private_window,1.4572469825004217e-10,7.152678449529049e-11,direct_integral_from_partition_qualified_private_window
1290.0,10000.0,2.890322458921518e-09,0.9999999971096776,exact_private_window,5.017598799808966e-10,2.0268231537556858e-11,direct_integral_from_partition_qualified_private_window
1290.0,100000.0,2.890322458777742e-08,0.9999999710967759,exact_private_window,1.5893809123623485e-09,5.897859978176712e-11,direct_integral_from_partition_qualified_private_window
1290.0,1000000.0,2.8903224590703097e-07,0.9999997109677958,exact_private_window,5.021467340977293e-09,2.815880861817277e-11,direct_integral_from_partition_qualified_private_window
1290.0,10000000.0,2.890322459112912e-06,0.9999971096817178,exact_private_window,1.587961861059273e-08,6.163958232718869e-11,direct_integral_from_partition_qualified_private_window
1290.0,100000000.0,2.8903224590074525e-05,0.9999710971931041,exact_private_window,5.021632633651968e-08,6.03019856271203e-11,direct_integral_from_partition_qualified_private_window
1290.0,1000000000.0,0.00028903224591111265,0.9997110095198845,exact_private_window,1.5877811796857261e-07,4.475708692552871e-11,direct_integral_from_partition_qualified_private_window
1290.0,10000000000.0,0.0028903224588341164,0.9971138505017552,exact_private_window,5.856770841662617e-08,2.1104540337546496e-10,direct_integral_from_partition_qualified_private_window
1290.0,100000000000.0,0.028903224590728915,0.9715104782415637,exact_private_window,6.79292816740395e-08,2.8540725338643824e-11,direct_integral_from_partition_qualified_private_window
1290.0,1000000000000.0,0.28903224589399434,0.7489880532238998,exact_private_window,8.93808712097019e-08,2.3922197556203173e-11,direct_integral_from_partition_qualified_private_window
1290.0,10000000000000.0,2.890322458830761,0.055558294460034574,stationary,0.0,0.0,stationary_propagation_after_certificate
1290.0,100000000000000.0,28.903224591121667,2.8021349752717307e-13,stationary,0.0,0.0,stationary_propagation_after_certificate
1460.0,64.0,3.98813187848604e-09,0.9999999960118682,exact_private_window,5.341404850811078e-11,9.631406783228158e-12,direct_integral_from_partition_qualified_private_window
1460.0,128.0,7.976263757048919e-09,0.9999999920237362,exact_private_window,1.920164028042781e-11,2.7426949600339867e-12,direct_integral_from_partition_qualified_private_window
1460.0,1000.0,6.231456060217032e-08,0.9999999376854414,exact_private_window,1.590715330288991e-10,3.822719918389339e-11,direct_integral_from_partition_qualified_private_window
1460.0,10000.0,6.231456059791271e-07,0.9999993768545882,exact_private_window,5.454362317465418e-10,1.127276050283399e-11,direct_integral_from_partition_qualified_private_window
1460.0,100000.0,6.231456059622238e-06,0.9999937685633559,exact_private_window,1.7243881211424483e-09,4.82049955508046e-11,direct_integral_from_partition_qualified_private_window
1460.0,1000000.0,6.231456059064652e-05,0.9999376873809213,exact_private_window,5.45606497725931e-09,2.2176038783072727e-11,direct_integral_from_partition_qualified_private_window
1460.0,10000000.0,0.0006231456058988464,0.9993770485090016,exact_private_window,1.725467244304974e-08,1.3415046851150692e-11,direct_integral_from_partition_qualified_private_window
1460.0,100000000.0,0.006231456059940158,0.9937879191961309,exact_private_window,5.456173891490869e-08,3.101519041592837e-11,direct_integral_from_partition_qualified_private_window
1460.0,1000000000.0,0.062314560590910395,0.9395872831698957,exact_private_window,1.725159723532287e-07,2.3099744339560857e-11,direct_integral_from_partition_qualified_private_window
1460.0,10000000000.0,0.6231456059221001,0.5362549350337588,exact_private_window,6.363101966591998e-08,3.565148176676303e-11,direct_integral_from_partition_qualified_private_window
1460.0,100000000000.0,6.231456059334345,0.0019665863445352746,exact_private_window,1.0121403543207303e-07,6.069822422460902e-11,direct_integral_from_partition_qualified_private_window
1460.0,1000000000000.0,62.31456059317909,8.652272564471568e-28,stationary,0.0,0.0,stationary_propagation_after_certificate
1500.0,64.0,1.3136125391373983e-08,0.9999999868638747,exact_private_window,5.7307853031904183e-11,3.926814429178194e-11,direct_integral_from_partition_qualified_private_window
1500.0,128.0,2.6272250781716353e-08,0.9999999737277495,exact_private_window,1.8079648891667123e-11,3.743494403352088e-11,direct_integral_from_partition_qualified_private_window
1500.0,1000.0,2.0525195923853205e-07,0.9999997947480618,exact_private_window,1.6059482297347835e-10,9.878142748220853e-11,direct_integral_from_partition_qualified_private_window
1500.0,10000.0,2.052519592028791e-06,0.9999979474825144,exact_private_window,5.565079087465191e-10,8.091305403468141e-12,direct_integral_from_partition_qualified_private_window
1500.0,100000.0,2.0525195920230286e-05,0.9999794750147202,exact_private_window,1.7615605205486498e-09,9.338485540411057e-11,direct_integral_from_partition_qualified_private_window
1500.0,1000000.0,0.00020525195922092105,0.9997947691035214,exact_private_window,5.561774382745714e-09,6.343903180550114e-11,direct_integral_from_partition_qualified_private_window
1500.0,10000000.0,0.002052519592126321,0.9979495853857959,exact_private_window,1.7592866359220715e-08,1.4865442210520996e-11,direct_integral_from_partition_qualified_private_window
1500.0,100000000.0,0.02052519592043309,0.9796840121231276,exact_private_window,5.5630360894205825e-08,2.858158154595003e-11,direct_integral_from_partition_qualified_private_window
1500.0,1000000000.0,0.20525195924628856,0.8144420843437248,exact_private_window,1.758861268668171e-07,1.312763231453573e-10,direct_integral_from_partition_qualified_private_window
1500.0,10000000000.0,2.0525195921957895,0.1284109524132038,exact_private_window,6.487523556508214e-08,6.719946821220901e-11,direct_integral_from_partition_qualified_private_window
1500.0,100000000000.0,20.525195921819115,1.2190476207118654e-09,exact_private_window,1.0319061710294386e-07,4.122924224247981e-12,direct_integral_from_partition_qualified_private_window
1500.0,1000000000000.0,205.25195921299527,7.247808566381808e-90,stationary,0.0,0.0,stationary_propagation_after_certificate
1630.0,64.0,5.242909846788519e-07,0.9999994757091527,exact_private_window,6.342425434604318e-11,1.03536734741283e-10,direct_integral_from_partition_qualified_private_window
1630.0,128.0,1.0485819692491373e-06,0.9999989514185805,exact_private_window,1.793254434107058e-11,9.881695461899653e-11,direct_integral_from_partition_qualified_private_window
1630.0,1000.0,8.192046635431064e-06,0.9999918079869193,exact_private_window,1.7238471650703665e-10,3.991473818132363e-11,direct_integral_from_partition_qualified_private_window
1630.0,10000.0,8.192046634931298e-05,0.9999180828890405,exact_private_window,5.929537776016407e-10,2.440536661652004e-11,direct_integral_from_partition_qualified_private_window
1630.0,100000.0,0.00081920466352412,0.9991811307930075,exact_private_window,1.871433345529739e-09,5.878497688627249e-11,direct_integral_from_partition_qualified_private_window
1630.0,1000000.0,0.008192046634405691,0.9918414167394379,exact_private_window,5.920507367950974e-09,9.055334260210657e-11,direct_integral_from_partition_qualified_private_window
1630.0,10000000.0,0.08192046633396763,0.9213452337465147,exact_private_window,1.8733616206554014e-08,1.5025580779592929e-10,direct_integral_from_partition_qualified_private_window
1630.0,100000000.0,0.8192046634475953,0.440782085236376,exact_private_window,5.922420901262458e-08,3.8388070500161575e-11,direct_integral_from_partition_qualified_private_window
